vehículo[541]: 24.7848533333336Mbps
vehículo[542]: 0.09408Mbps
vehículo[543]: 0.09408Mbps
vehículo[544]: 0.09408Mbps
vehículo[545]: 24.8132266666664Mbps
vehículo[546]: 0.07392Mbps
vehículo[547]: 0.0343466666666664Mbps
vehículo[548]: 0.0343466666666664Mbps
vehículo[549]: 0.0574933333333336Mbps
vehículo[550]: 0.0283733333333336Mbps
vehículo[551]: 0.09482666666666399Mbps
vehículo[552]: 24.82592Mbps
vehículo[553]: 3.99541333333336Mbps
vehículo[554]: 12.7179733333336Mbps
vehículo[555]: 0.082133333333336Mbps
vehículo[556]: 0.09482666666666399Mbps
vehículo[557]: 0.09482666666666399Mbps
vehículo[558]: 0.09482666666666399Mbps
vehículo[559]: 19.6530133333336Mbps
vehículo[560]: 0.07392Mbps
vehículo[561]: 24.8274133333336Mbps
vehículo[562]: 0.097813333333336Mbps
vehículo[563]: 0.115733333333336Mbps
vehículo[564]: 24.82816Mbps
vehículo[565]: 0.09408Mbps
vehículo[566]: 24.82816Mbps
vehículo[567]: 0.09482666666666399Mbps
vehículo[568]: 0.09408Mbps
vehículo[569]: 0.132906666666664Mbps
vehículo[570]: 0.09408Mbps
vehículo[571]: 0.0164266666666664Mbps
vehículo[572]: 0.0664533333333336Mbps
vehículo[573]: 0.0664533333333336Mbps
vehículo[574]: 0.04928Mbps
vehículo[575]: 0.082133333333336Mbps
vehículo[576]: 0.09408Mbps
vehículo[577]: 0.09408Mbps
vehículo[578]: 0.09408Mbps
vehículo[579]: 0.09408Mbps
vehículo[580]: 10.6930133333336Mbps
vehículo[581]: 0.09408Mbps
vehículo[582]: 0.09408Mbps
vehículo[583]: 0.09408Mbps
vehículo[584]: 0.09408Mbps
vehículo[585]: 0.09408Mbps
vehículo[586]: 0.21578666666666402Mbps
vehículo[587]: 0.09408Mbps
vehículo[588]: 24.82144Mbps
vehículo[589]: 0.0Mbps
vehículo[590]: 0.0Mbps
vehículo[591]: 0.0Mbps
vehículo[592]: 0.0Mbps
vehículo[593]: 0.0Mbps
Total: 4900.140373333312Mbps
Caben: 196 coches
